Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:13.9,-0.345,0.022003,-0.021996,-0.00099945,0,0.065002,0.020996,0.086998,0,-0.065002,-0.173
08:14.0,-0.28101,-0.042999,-0.021996,0,0,0.042999,0,0.086998,0,-0.022003,-0.173
08:14.1,-0.259,0,-0.021996,0,0,0.042999,0,0.10799,-0.022003,-0.065002,-0.173
08:14.2,-0.194,0.022003,-0.021996,0,0,0,0,0.086998,0.020996,-0.065002,-0.151
08:14.3,-0.064003,0.042999,0,0,0,0,0,0.064995,-0.022003,-0.065002,-0.151
08:14.4,-0.021004,0.087006,0,0,0,0.022003,0.020996,0.064995,-0.022003,-0.065002,-0.151
08:14.5,-0.043007,0.065002,0,0,0,0.042999,0.020996,0.064995,0,-0.085999,-0.151
08:14.6,-0.064003,0.022003,-0.021996,0,0,0.065002,0.020996,0.064995,0.020996,-0.065002,-0.173
08:14.7,-0.043007,-0.042999,-0.021996,0,0,0.065002,0.020996,0.064995,0,-0.108,-0.151
08:14.8,-0.064003,0.022003,-0.021996,-0.00099945,0,0.065002,0.020996,0.064995,-0.022003,-0.173,-0.151
08:14.9,-0.043007,-0.042999,0,-0.00099945,0,0.022003,0,0.064995,0,-0.194,-0.151
08:15.0,-0.043007,-0.085999,-0.021996,-0.00099945,0,0,-0.022003,0.064995,-0.022003,-0.194,-0.151
08:15.1,-0.064003,0,-0.021996,-0.00099945,0,0.022003,-0.022003,0.086998,-0.087006,-0.13,-0.13
08:15.2,-0.043007,0.108,-0.021996,-0.00099945,0,0.065002,-0.043999,0.086998,-0.087006,-0.108,-0.086998
08:15.3,-0.021004,0.065002,-0.021996,-0.00099945,0,0.042999,-0.022003,0.064995,-0.065002,-0.13,-0.108
08:15.4,0,0.042999,-0.021996,-0.00099945,-0.089996,0.042999,-0.022003,0.064995,-0.065002,-0.151,-0.064995
08:15.5,0,-0.064995,0,0,-0.089996,0.042999,0,0.064995,-0.108,-0.13,-0.086998
08:15.6,-0.043007,-0.064995,0,0,-0.089996,0.042999,0,0.064995,-0.065002,-0.108,-0.108
08:15.7,-0.043007,0.022003,0,0,-0.089996,0.022003,0,0.064995,-0.087006,-0.13,-0.13
08:15.8,-0.043007,0,-0.021996,0,-0.089996,0,0,0.064995,-0.087006,-0.13,-0.086998
08:15.9,-0.043007,0,-0.021996,0,-0.089996,0.022003,-0.022003,0.064995,-0.065002,-0.085999,-0.064995
08:16.0,-0.043007,-0.042999,-0.021996,0,-0.089996,0,-0.022003,0.042999,-0.087006,-0.085999,-0.086998
08:16.1,-0.043007,-0.129,0,-0.00099945,0,-0.021004,-0.022003,0.064995,-0.065002,-0.108,-0.13
08:16.2,-0.043007,-0.129,-0.021996,-0.00099945,-0.598,-0.021004,-0.022003,0.042999,-0.108,-0.13,-0.108
08:16.3,-0.021004,-0.042999,0,-0.00099945,-0.6,0.022003,-0.022003,0.064995,-0.065002,-0.13,-0.086998
